0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:12:07 +0100] "GET /Projet/html_css/accueil.jsp HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:12:14 +0100] "GET /demarrage/index.html HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:12:14 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:12:14 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:12:14 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:12:14 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 200 151942
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:12:14 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:35 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:35 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:35 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:38 +0100] "GET /demarrage/index.html HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:38 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:38 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:38 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:38 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:16:38 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/index.html HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 200 17882
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:20 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:21:23 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/CATS%20will%20make%20you%20LAUGH%20YOUR%20HEAD%20OFF%20-%20Funny%20CAT%20compilation HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/Cats%20are%20so%20funny%20you%20will%20die%20laughing%20-%20Funny%20cat%20compilation HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/Hilarious%20Cat%20Fails%20(April%202017) HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:26:47 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:20 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:20 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:20 +0100] "GET /demarrage/images/CATS%20will%20make%20you%20LAUGH%20YOUR%20HEAD%20OFF%20-%20Funny%20CAT%20compilation HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:20 +0100] "GET /demarrage/images/Cats%20are%20so%20funny%20you%20will%20die%20laughing%20-%20Funny%20cat%20compilation HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:20 +0100] "GET /demarrage/images/Hilarious%20Cat%20Fails%20(April%202017) HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:20 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:21 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:21 +0100] "GET /demarrage/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:21 +0100] "GET /demarrage/images/CATS%20will%20make%20you%20LAUGH%20YOUR%20HEAD%20OFF%20-%20Funny%20CAT%20compilation HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:21 +0100] "GET /demarrage/images/Hilarious%20Cat%20Fails%20(April%202017) HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:21 +0100] "GET /demarrage/images/Cats%20are%20so%20funny%20you%20will%20die%20laughing%20-%20Funny%20cat%20compilation HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:27:21 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:06 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:06 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:06 +0100] "GET /demarrage/images/Cats%20are%20so%20funny%20you%20will%20die%20laughing%20-%20Funny%20cat%20compilation HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:06 +0100] "GET /demarrage/images/Hilarious%20Cat%20Fails%20(April%202017) HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:06 +0100] "GET /demarrage/images/CATS%20will%20make%20you%20LAUGH%20YOUR%20HEAD%20OFF%20-%20Funny%20CAT%20compilation HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:06 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:09 +0100] "GET /demarrage/videos/catfails.mp4 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:12 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:28:14 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/images/catssofunny.jpg HTTP/1.1" 200 14150
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 200 31981
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:17 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:18 +0100] "GET /demarrage/catfails.jpg HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:21 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:29 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:29 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:29 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:29:30 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:30:24 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
